feature_category_id,feature_value_id,item_id
1,60,1
1,143,10
1,358,2
1,461,924
1,517,2
1,771,2
2,53,1802
2,56,6
2,83,7
2,104,35
2,121,7
2,139,31
2,198,2
2,208,23
2,297,8
2,309,3
2,310,127
2,343,30
2,406,3
2,442,2
2,467,13
2,514,2
2,560,2
2,653,2
2,660,2
2,666,12
2,684,5
2,695,11
2,841,30
2,851,66
2,853,22
3,241,3
3,569,69
3,645,82
3,793,8938
3,889,219
4,214,8
4,280,182
4,304,34
4,331,299
4,372,178
4,385,182
4,395,52
4,505,607
4,571,175
4,618,11628
4,635,221
4,637,42
4,719,851
4,743,179
4,862,257
4,865,59
5,58,403
5,146,91
5,160,28
5,225,40
5,257,1
5,396,92
5,472,364
5,529,78
5,542,2
5,605,8382
5,650,7
6,84,78
6,124,75
6,399,547
6,539,469
6,766,218
6,778,229
6,860,4
6,877,172
7,2,1700
7,28,92
7,46,62
7,78,9
7,82,767
7,170,188
7,207,292
7,221,68
7,244,7
7,276,308
7,284,595
7,298,151
7,315,56
7,329,25
7,364,10
7,394,3151
7,398,249
7,414,208
7,452,2601
7,463,31
7,490,653
7,492,28
7,528,26
7,536,1322
7,619,1885
7,629,26
7,652,10
7,710,2
7,777,404
7,794,28
7,797,36
7,798,3331
7,836,144
7,837,1373
7,838,578
8,157,198
8,323,760
8,420,136
8,636,868
9,175,50
9,178,1
9,190,56
9,369,30
10,22,3
10,69,1
10,147,26
10,159,143
10,184,2
10,217,33
10,287,75
10,361,8
10,407,37
10,464,7
10,561,25
10,631,327
10,644,1
10,724,177
10,732,85
10,789,16
10,871,189
11,109,1523
11,305,13
11,308,166
11,357,56
11,422,334
11,513,559
11,572,21
11,598,1
11,602,284
11,633,342
11,676,489
11,691,133
11,735,1164
11,736,5
11,763,10
11,854,42
11,859,862
12,366,143
12,410,507
12,438,428
12,565,188
12,699,127
12,812,172
13,252,38
13,698,94
13,846,3
13,905,2
14,57,153
14,67,28
14,179,94
14,253,5
14,307,177
14,468,10
14,494,5
14,519,20
14,558,3
14,563,12
14,570,70
14,651,22
14,754,14
14,760,1
14,786,130
14,821,7
14,857,55
14,888,1
15,18,174
15,26,358
15,133,876
15,367,89
15,451,1619
15,548,276
15,584,1535
15,656,413
16,38,1770
16,363,3
16,551,73
16,658,35
17,100,62
17,339,87
17,378,11939
17,614,15
18,79,1159
18,158,1864
18,172,2
18,289,1442
18,577,226
18,604,10
18,817,1908
19,5,49
19,33,58
19,90,50
19,111,2
19,112,2898
19,119,212
19,148,835
19,232,261
19,254,114
19,258,5
19,288,6
19,292,161
19,302,138
19,347,7
19,431,130
19,458,62
19,487,269
19,500,25
19,545,598
19,628,307
19,668,479
19,675,29
19,696,11
19,700,1019
19,711,39
19,723,85
19,752,12
19,765,3115
19,769,1181
19,774,151
20,251,231
20,342,571
20,412,44
21,24,38
21,64,3
21,117,10
21,196,10
21,224,583
21,250,24
21,296,143
21,345,97
21,348,16
21,353,206
21,418,34
21,430,124
21,601,23
21,657,119
21,664,85
21,890,50
22,114,2
22,270,232
22,881,374
23,65,129
23,510,2086
24,189,180
24,588,3062
25,54,6
25,94,8
25,376,407
25,687,1005
25,850,536
26,13,42
26,44,984
26,66,28
26,68,31
26,77,22
26,113,895
26,126,445
26,168,708
26,268,8248
26,346,134
26,400,258
26,507,1712
26,525,5
26,553,157
26,591,238
26,600,136
26,612,7
26,677,5
26,727,33
26,750,126
26,779,56
27,423,1
28,34,95
28,70,155
28,182,310
28,282,384
28,415,108
28,437,937
29,123,2713
29,162,21
29,277,461
29,386,1440
29,729,218
29,753,6
30,37,6
30,42,1
30,48,1
30,62,13
30,107,226
30,118,4
30,127,13
30,136,2
30,141,1
30,150,9
30,154,1
30,173,2
30,194,2454
30,203,5
30,228,14
30,235,1
30,259,9
30,271,24
30,285,11
30,291,3
30,325,5
30,360,12
30,375,4
30,377,2
30,391,5
30,392,6
30,413,2
30,417,7
30,419,1
30,426,1
30,435,13
30,453,5
30,466,45
30,478,2914
30,482,2504
30,493,13
30,497,4
30,532,8
30,562,1
30,564,3002
30,582,8
30,613,18
30,638,2
30,640,13
30,641,1
30,648,2
30,654,5
30,661,7
30,669,6
30,670,6
30,715,1606
30,721,28
30,775,7
30,790,19
30,807,6
30,809,7
30,820,5
30,827,1
30,832,4
30,835,2
30,847,2142
30,867,43
30,869,29
30,880,14
30,891,2
30,892,44
30,900,31
31,183,125
31,306,1
31,713,109
31,768,2332
32,101,509
32,286,2473
32,352,630
32,522,3790
32,902,6875
33,36,1134
33,96,88
33,171,68
33,211,148
33,273,6
33,530,1
33,733,20
33,764,316
33,802,69
33,873,371
34,149,1
34,237,506
34,275,5381
34,734,1145
35,17,64
35,272,256
35,318,46
35,370,174
35,397,14
35,667,16
36,678,219
36,824,949
36,830,615
36,858,810
37,45,193
37,245,773
37,443,142
37,469,605
38,138,1184
38,261,38
38,320,40
38,421,266
38,440,100
38,567,1
38,693,392
38,818,560
39,125,73
39,137,1
39,389,19
39,731,1888
39,772,199
39,795,57
40,49,20
40,144,87
40,193,3
40,433,102
40,449,31
40,526,19
40,576,15
40,697,1
40,714,5
40,717,594
41,145,1099
41,151,345
41,181,865
41,200,257
41,210,785
41,322,465
41,368,38
41,622,9
41,759,91
41,826,666
42,409,1297
42,682,89
42,781,487
43,321,4
43,384,25
43,473,99
43,788,423
43,894,18
44,4,91
44,32,27
44,51,493
44,61,41
44,73,275
44,85,190
44,140,64
44,174,48
44,220,373
44,236,24
44,269,147
44,319,164
44,327,19
44,411,2
44,475,25
44,509,544
44,515,449
44,547,32
44,556,32
44,578,1
44,615,190
44,621,45
44,646,36
44,718,11
44,725,114
44,839,28
44,870,310
45,52,107
45,177,41
45,491,10
45,559,8960
45,681,3
45,773,27
45,782,10
45,899,106
46,71,12
46,783,684
46,825,9097
46,882,309
47,36,3854
47,96,1579
47,123,2242
47,165,586
47,218,632
47,242,861
47,273,1194
47,313,3
47,512,718
47,516,1932
47,520,366
47,549,6169
47,603,144
47,690,986
47,720,674
47,842,861
47,884,890
48,326,417
48,354,78
48,404,444
49,25,15
49,132,7
49,311,1
49,341,37
49,428,8
49,432,4
49,465,2160
49,485,63
49,611,6
49,806,290
50,8,5
50,76,749
50,128,856
50,130,266
50,164,54
50,195,1
50,212,25
50,240,4612
50,274,176
50,281,45
50,283,203
50,317,3391
50,328,3683
50,380,4
50,480,32
50,489,1
50,552,2
50,580,59
50,609,7
50,630,17
50,643,85
50,708,3043
50,737,267
50,901,5494
51,186,7
51,300,16
51,340,9
51,457,154
51,533,12
51,540,57
51,597,233
51,624,22
51,625,7
51,686,3
51,893,106
51,897,52
52,227,125
52,293,44
52,495,110
52,728,27
52,756,262
53,6,1739
53,155,19
53,444,1677
53,680,11
53,707,360
54,197,7
54,481,14
54,785,320
55,35,81
55,43,72
55,93,192
55,95,27
55,105,71
55,110,69
55,129,1868
55,152,77
55,166,31
55,167,112
55,185,33
55,201,19
55,229,152
55,230,133
55,265,63
55,267,10339
55,314,91
55,324,62
55,359,7
55,374,336
55,390,118
55,401,142
55,439,16
55,448,168
55,471,67
55,535,34
55,537,64
55,543,31
55,546,32
55,632,68
55,673,7
55,674,96
55,683,72
55,692,22
55,703,25
55,704,1714
55,730,5
55,746,35
55,770,86
55,803,261
55,810,63
55,823,500
55,833,34
55,834,46
55,845,60
55,849,42
55,855,125
55,874,4
55,879,7
56,1,6
56,19,1
56,23,56
56,29,1
56,32,114
56,39,2
56,50,67
56,74,1
56,89,49
56,102,115
56,131,5
56,153,1160
56,161,80
56,164,1
56,176,4
56,184,2
56,191,3
56,192,10
56,194,17
56,223,124
56,231,10
56,239,818
56,249,12
56,295,3
56,312,6
56,332,2
56,334,1
56,337,5
56,344,31
56,355,12
56,365,19472
56,400,2
56,402,2
56,408,338
56,418,4
56,427,12
56,429,2
56,436,12
56,439,14
56,450,67
56,460,141
56,496,6
56,501,3
56,503,3
56,506,28
56,523,6
56,527,29
56,541,14
56,581,2
56,589,1
56,594,1
56,606,1
56,626,1
56,741,207
56,749,2
56,752,5
56,757,71
56,761,26
56,787,53
56,791,73
56,792,63
56,804,8
56,819,3
56,843,16
56,844,1
56,866,1
56,868,283
57,12,106
57,47,48
57,135,633
57,233,213
57,278,34
57,303,1
57,488,32
57,534,10
57,574,143
57,623,580
57,811,162
58,299,1681
58,301,1
58,607,6
58,634,170
58,705,1
59,98,115
59,180,5326
59,255,12
59,336,1
59,356,4
59,387,901
59,470,2
59,508,2
59,815,11
59,856,2469
60,3,164
60,205,3
60,238,6
60,243,308
60,388,25
60,541,35
60,587,212
60,590,12
60,647,68
60,758,459
60,796,308
60,814,31
60,831,151
60,872,10
61,59,205
61,462,5413
61,706,12353
61,808,821
61,898,3720
62,15,1270
62,801,4854
62,896,24
63,39,199
63,55,35
63,142,136
63,169,76
63,187,16
63,202,316
63,290,101
63,294,99
63,447,10
63,483,3
63,518,106
63,593,34
63,595,84
63,599,344
63,620,72
63,672,109
63,688,6
63,742,225
63,800,10
63,816,837
63,840,106
63,861,11651
63,887,13
64,27,18
64,80,605
64,188,9
64,689,3
64,722,6
64,762,30
65,11,90
65,21,2
65,122,128
65,199,53
65,454,119
65,521,8491
65,550,281
65,579,88
65,583,10
65,610,1687
65,813,11
66,264,10
66,776,78
66,886,789
67,16,7
67,20,38
67,72,308
67,86,5
67,92,1
67,266,2
67,349,909
67,350,2
67,382,825
67,456,7
67,484,9
67,504,130
67,566,296
67,608,15
67,716,2
67,738,9
67,755,3
68,10,164
68,14,332
68,31,689
68,40,140
68,97,293
68,103,575
68,106,695
68,120,108
68,156,230
68,204,261
68,216,106
68,222,138
68,279,289
68,335,195
68,351,6497
68,373,1676
68,379,604
68,383,813
68,393,246
68,403,37
68,425,83
68,441,207
68,445,367
68,474,149
68,476,63
68,479,349
68,498,14
68,502,22
68,524,15
68,531,563
68,555,56
68,596,475
68,617,35
68,659,346
68,662,66
